relative_path,bytes,sha256
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/05_QUELLE_UND_PRUEFUNG/02_BOX_AUSSEN.png,32666,6eec6fcf4de0b0a9c7e597fc18b603a5fff2c8a6acbc0c7c70400adc876fbdf8
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/05_QUELLE_UND_PRUEFUNG/03_SCHIEBEDECKEL.png,20291,08bbf977c334423daed11a5738829e2a02bec677e9e5c5dc282b4f0ad7b2a2b2
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/09_SCHIEBEBOX_POWERBANK_100X76X16_V4/05_QUELLE_UND_PRUEFUNG/04_DRAUFSICHT_FAECHER.png,9408,ce763c2469dc3c509b9c4700cc4b22dfbd551612084afc864b1bc430dc663c5e
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/10_SCHIEBEBOX_POWERBANK_PORTS_V5/05_QUELLE_UND_PRUEFUNG/01_INNENRAUM_POWERBANK.png,29009,8f6ef08974a94a71101fb69fb723e5c3a810dd6be4b6732a3e8c58bd8bf4603f
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/10_SCHIEBEBOX_POWERBANK_PORTS_V5/05_QUELLE_UND_PRUEFUNG/02_BOX_AUSSEN.png,32503,0f805f295bb4e7cf0f928e7b6ba1e8b350df30f9a372c91f13f158034b3a733a
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/10_SCHIEBEBOX_POWERBANK_PORTS_V5/05_QUELLE_UND_PRUEFUNG/03_SCHIEBEDECKEL.png,20291,08bbf977c334423daed11a5738829e2a02bec677e9e5c5dc282b4f0ad7b2a2b2
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/10_SCHIEBEBOX_POWERBANK_PORTS_V5/05_QUELLE_UND_PRUEFUNG/04_DRAUFSICHT_FAECHER.png,9297,92a17488d0ee590c749581fef190655a569ab620e0749cc59ea18cf98368676c
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/05_QUELLE_UND_PRUEFUNG/01_INNENRAUM_POWERBANK.png,31817,75ae162a28ab074ef81d0f0a99f470a5674e8d0d1970fd8f094569236c11c7d4
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/05_QUELLE_UND_PRUEFUNG/02_BOX_AUSSEN.png,34641,3337a07497c92a9374cc4fa42898b5962c0d2dfd54b87d35c9e571365540d53b
05_MESSDATEN_UND_PRUEFBILDER/PRUEFBILDER_AUS_ENTWICKLUNG/11_SCHIEBEBOX_EXAKT_V14_HINGE_V6/05_QUELLE_UND_PRUEFUNG/03_SCHIEBEDECKEL.png,21239,ac54f6ad2fc547924b88492c60c77fc196c34b8f0696acc3285729708e11b181
