relative_path,bytes,vertices,faces,watertight,body_count,extent_x_mm,extent_y_mm,extent_z_mm,load_error
DRUCKDATEIEN_SORTIERT/03_V9_GLEICHE_AUSSENKONTUR/01_TASTATURHAELFTE_K06_59P6MM_M5_V9.stl,142484,1302,2848,True,1,87.188042,155.199997,18.71398,
DRUCKDATEIEN_SORTIERT/03_V9_GLEICHE_AUSSENKONTUR/02_HANDYHAELFTE_PIXEL6A_M5_WABEN_V9.stl,988784,9755,19774,True,1,87.17458,155.199997,17.54884,
DRUCKDATEIEN_SORTIERT/04_NUR_VORSCHAU_NICHT_DRUCKEN/ADAPTER_PASSFORM_NICHT_DRUCKEN.stl,40484,398,808,True,2,62.849998,55.759998,17.379999,
DRUCKDATEIEN_SORTIERT/04_NUR_VORSCHAU_NICHT_DRUCKEN/HANDY_MIT_ADAPTER_NICHT_DRUCKEN.stl,1021484,10052,20428,False,3,89.700001,155.199997,36.779999,
DRUCKDATEIEN_SORTIERT/04_NUR_VORSCHAU_NICHT_DRUCKEN/V5_180_GRAD_NICHT_DRUCKEN.stl,1160884,11352,23216,True,2,171.889999,167.763016,18.816339,
DRUCKDATEIEN_SORTIERT/04_NUR_VORSCHAU_NICHT_DRUCKEN/V5_ARBEITSSTELLUNG_NICHT_DRUCKEN.stl,1160884,11351,23216,False,3,128.902916,167.763016,96.771332,
DRUCKDATEIEN_SORTIERT/04_NUR_VORSCHAU_NICHT_DRUCKEN/V5_GESCHLOSSEN_NICHT_DRUCKEN.stl,1160884,11352,23216,True,2,91.28804,167.763016,27.816339,
DRUCKDATEIEN_SORTIERT/04_V8_VORSCHAU_NICHT_DRUCKEN/V8_180_GRAD_NICHT_DRUCKEN.stl,1130984,11055,22618,True,2,159.890003,157.279999,18.71398,
DRUCKDATEIEN_SORTIERT/04_V8_VORSCHAU_NICHT_DRUCKEN/V8_ARBEITSSTELLUNG_NICHT_DRUCKEN.stl,1130984,11054,22618,False,3,120.328625,157.279999,91.169044,
DRUCKDATEIEN_SORTIERT/04_V8_VORSCHAU_NICHT_DRUCKEN/V8_GESCHLOSSEN_NICHT_DRUCKEN.stl,1130984,11055,22618,True,2,87.188042,157.279999,27.816339,
DRUCKDATEIEN_SORTIERT/06_POWERBANK_UNTERBODEN_V1/01_POWERBANK_UNTERBODEN_75P8X155P2_V1.stl,108884,1078,2176,True,1,75.800003,155.199997,19.41,
DRUCKDATEIEN_SORTIERT/06_POWERBANK_UNTERBODEN_V1/02_SECHS_HEX_KLICKSTIFTE_4P8MM_V1.stl,39184,403,782,True,6,39.279999,25.715622,4.8,
